NAME                                  IMAGE                                                                                                COMMAND                  SERVICE             CREATED          STATUS          PORTS
onix-sync-spike-bap-client-1          fidedocker/protocol-server@sha256:4f15b3a82c32a0a9b7aac79cc692a029b85d8b845f2b0b6c10fbefd0327b8e23   "docker-entrypoint.s…"   bap-client          27 minutes ago   Up 4 minutes    0.0.0.0:5001->5001/tcp, [::]:5001->5001/tcp
onix-sync-spike-bap-network-1         fidedocker/protocol-server@sha256:4f15b3a82c32a0a9b7aac79cc692a029b85d8b845f2b0b6c10fbefd0327b8e23   "docker-entrypoint.s…"   bap-network         27 minutes ago   Up 4 minutes    0.0.0.0:5002->5002/tcp, [::]:5002->5002/tcp
onix-sync-spike-bmrcl-bpp-client-1    fidedocker/protocol-server@sha256:4f15b3a82c32a0a9b7aac79cc692a029b85d8b845f2b0b6c10fbefd0327b8e23   "docker-entrypoint.s…"   bmrcl-bpp-client    27 minutes ago   Up 4 minutes    0.0.0.0:6101->6101/tcp, [::]:6101->6101/tcp
onix-sync-spike-bmrcl-bpp-network-1   fidedocker/protocol-server@sha256:4f15b3a82c32a0a9b7aac79cc692a029b85d8b845f2b0b6c10fbefd0327b8e23   "docker-entrypoint.s…"   bmrcl-bpp-network   27 minutes ago   Up 4 minutes    0.0.0.0:6102->6102/tcp, [::]:6102->6102/tcp
onix-sync-spike-bmtc-bpp-client-1     fidedocker/protocol-server@sha256:4f15b3a82c32a0a9b7aac79cc692a029b85d8b845f2b0b6c10fbefd0327b8e23   "docker-entrypoint.s…"   bmtc-bpp-client     27 minutes ago   Up 4 minutes    0.0.0.0:6001->6001/tcp, [::]:6001->6001/tcp
onix-sync-spike-bmtc-bpp-network-1    fidedocker/protocol-server@sha256:4f15b3a82c32a0a9b7aac79cc692a029b85d8b845f2b0b6c10fbefd0327b8e23   "docker-entrypoint.s…"   bmtc-bpp-network    27 minutes ago   Up 4 minutes    0.0.0.0:6002->6002/tcp, [::]:6002->6002/tcp
onix-sync-spike-sync-mongo-1          mongo:4.4                                                                                            "docker-entrypoint.s…"   sync-mongo          5 hours ago      Up 5 hours      27017/tcp
onix-sync-spike-sync-rabbitmq-1       rabbitmq:3.13-management-alpine                                                                      "docker-entrypoint.s…"   sync-rabbitmq       5 hours ago      Up 5 hours      4369/tcp, 5671-5672/tcp, 15671-15672/tcp, 15691-15692/tcp, 25672/tcp
onix-sync-spike-sync-redis-1          redis:6.2.5-alpine                                                                                   "docker-entrypoint.s…"   sync-redis          5 hours ago      Up 5 hours      6379/tcp
onix-sync-spike-transit-bpp-1         ondc-transit-bpp:local                                                                               "docker-entrypoint.s…"   transit-bpp         18 minutes ago   Up 17 minutes   0.0.0.0:7001->7001/tcp, [::]:7001->7001/tcp
