CONTAINER ID   IMAGE                             COMMAND                  CREATED          STATUS                          PORTS                                                                                      NAMES
2c9861db9a96   ondc-transit-bpp:local            "docker-entrypoint.s…"   18 minutes ago   Up 18 minutes                   0.0.0.0:7001->7001/tcp, [::]:7001->7001/tcp                                                onix-sync-spike-transit-bpp-1
cc5297f7c8f3   fidedocker/protocol-server        "docker-entrypoint.s…"   27 minutes ago   Up 4 minutes                    0.0.0.0:5001->5001/tcp, [::]:5001->5001/tcp                                                onix-sync-spike-bap-client-1
cc0952cc8212   fidedocker/protocol-server        "docker-entrypoint.s…"   27 minutes ago   Up 4 minutes                    0.0.0.0:6102->6102/tcp, [::]:6102->6102/tcp                                                onix-sync-spike-bmrcl-bpp-network-1
3eacb710e9c5   fidedocker/protocol-server        "docker-entrypoint.s…"   27 minutes ago   Up 4 minutes                    0.0.0.0:5002->5002/tcp, [::]:5002->5002/tcp                                                onix-sync-spike-bap-network-1
f64dd590da71   fidedocker/protocol-server        "docker-entrypoint.s…"   27 minutes ago   Up 4 minutes                    0.0.0.0:6002->6002/tcp, [::]:6002->6002/tcp                                                onix-sync-spike-bmtc-bpp-network-1
e97a56dba514   fidedocker/protocol-server        "docker-entrypoint.s…"   27 minutes ago   Up 4 minutes                    0.0.0.0:6001->6001/tcp, [::]:6001->6001/tcp                                                onix-sync-spike-bmtc-bpp-client-1
799bd9d0cf95   fidedocker/protocol-server        "docker-entrypoint.s…"   27 minutes ago   Up 4 minutes                    0.0.0.0:6101->6101/tcp, [::]:6101->6101/tcp                                                onix-sync-spike-bmrcl-bpp-client-1
397124e1e859   rabbitmq:3.13-management-alpine   "docker-entrypoint.s…"   5 hours ago      Up 5 hours                      4369/tcp, 5671-5672/tcp, 15671-15672/tcp, 15691-15692/tcp, 25672/tcp                       onix-sync-spike-sync-rabbitmq-1
6f62f4678666   mongo:4.4                         "docker-entrypoint.s…"   5 hours ago      Up 5 hours                      27017/tcp                                                                                  onix-sync-spike-sync-mongo-1
ae4ffa99d3d6   redis:6.2.5-alpine                "docker-entrypoint.s…"   5 hours ago      Up 5 hours                      6379/tcp                                                                                   onix-sync-spike-sync-redis-1
07e1514385b2   rabbitmq:3.8-management-alpine    "docker-entrypoint.s…"   5 hours ago      Restarting (0) 15 seconds ago                                                                                              rabbitmq
6a1d6a250d09   mongo:4.4                         "docker-entrypoint.s…"   5 hours ago      Up 5 hours                      0.0.0.0:27017->27017/tcp, [::]:27017->27017/tcp                                            mongoDB
c3930a5411c0   redis:6.2.5-alpine                "docker-entrypoint.s…"   5 hours ago      Up 5 hours                      0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp                                                redis
f2547fbe9e12   fidedocker/sandbox-api            "docker-entrypoint.s…"   5 hours ago      Up 5 hours                      0.0.0.0:4010->4000/tcp, [::]:4010->4000/tcp                                                sandbox-api
58acd8384d6b   fidedocker/gateway                "/bin/sh /gateway/bi…"   5 hours ago      Up 3 minutes                    0.0.0.0:4000->4000/tcp, [::]:4000->4000/tcp, 0.0.0.0:4030->4030/tcp, [::]:4030->4030/tcp   gateway
0aee4a2afd54   fidedocker/registry               "/bin/sh /registry/b…"   5 hours ago      Up 5 hours                      0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp, 0.0.0.0:3030->3030/tcp, [::]:3030->3030/tcp   registry
aecebccba6b1   mcp/grafana                       "/app/mcp-grafana --…"   2 days ago       Up 2 days                       8000/tcp                                                                                   goofy_black
5b7a4f1e4ae4   mcp/grafana                       "/app/mcp-grafana --…"   2 days ago       Up 2 days                       8000/tcp                                                                                   sleepy_easley
